Product,Category,Unit_Price,Quantity,Discount,Total_Price
Warsteiner,Alcoholic Beverages,1.05,11,0.0,11.55
Warsteiner,Alcoholic Beverages,1.05,1,0.0,1.05
Cranberry Juice,Juices,3.22,47,0.05,143.77
Mango Juice,Juices,3.12,15,0.0,46.8
Monster,Soft Drinks,3.12,13,0.0,40.56
San Pellegrino,Water,0.91,10,0.0,9.1
Vittel,Water,0.58,13,0.0,7.54
Hohes C Orange,Juices,1.75,5,0.0,8.75
Tomato Juice,Juices,3.34,100,0.15,283.9
Club Mate,Soft Drinks,2.19,14,0.0,30.66
Tomato Juice,Juices,3.23,3,0.0,9.69
Coca-Cola,Soft Drinks,1.07,14,0.0,14.98
Kölsch,Alcoholic Beverages,0.99,15,0.0,14.85
Monster,Soft Drinks,3.21,8,0.0,25.68
Sauvignon Blanc,Alcoholic Beverages,8.83,14,0.0,123.62
Hohes C Orange,Juices,2.6,81,0.15,179.01
Red Bull,Soft Drinks,2.35,11,0.0,25.85
Rauch Multivitamin,Juices,2.45,5,0.0,12.25
Beck's,Alcoholic Beverages,1.41,14,0.0,19.74
Riesling,Alcoholic Beverages,4.19,3,0.0,12.57
Fritz-Kola,Soft Drinks,1.91,31,0.05,56.25
Apollinaris,Water,0.93,2,0.0,1.86
Sauvignon Blanc,Alcoholic Beverages,9.09,2,0.0,18.18
Passion Fruit Juice,Juices,2.68,26,0.05,66.2
Gerolsteiner,Water,1.07,11,0.0,11.77
Vio Wasser,Water,0.83,15,0.05,11.83
Hohes C Orange,Juices,1.13,23,0.05,24.69
Augustiner,Alcoholic Beverages,3.18,23,0.05,69.48
Granini Apple,Juices,1.96,19,0.05,35.38
Warsteiner,Alcoholic Beverages,1.05,3,0.0,3.15
Monster,Soft Drinks,1.98,22,0.05,41.38
Monster,Soft Drinks,3.31,5,0.0,16.55
Warsteiner,Alcoholic Beverages,1.05,12,0.0,12.6
Sprite,Soft Drinks,1.33,92,0.15,104.01
Rauch Multivitamin,Juices,2.45,13,0.0,31.85
Volvic Touch,Water,1.42,4,0.0,5.68
Mango Juice,Juices,3.12,10,0.0,31.2
Fanta,Soft Drinks,1.16,4,0.0,4.64
Beck's,Alcoholic Beverages,0.99,45,0.05,42.32
Red Bull,Soft Drinks,2.35,1,0.0,2.35
Warsteiner,Alcoholic Beverages,1.74,90,0.15,133.11
Selters,Water,0.82,51,0.05,39.73
Cranberry Juice,Juices,4.28,39,0.05,158.57
Schwip Schwap,Soft Drinks,1.27,15,0.0,19.05
Warsteiner,Alcoholic Beverages,1.21,2,0.05,2.3
Rauch Multivitamin,Juices,2.45,8,0.0,19.6
Selters,Water,0.49,6,0.0,2.94
Vio Wasser,Water,2.06,69,0.15,120.82
Hohes C Orange,Juices,1.8,10,0.0,18.0
Sprite,Soft Drinks,0.55,7,0.0,3.85
Coca-Cola,Soft Drinks,1.1,12,0.0,13.2
Volvic,Water,0.58,8,0.0,4.64
Bacardi,Alcoholic Beverages,13.84,12,0.0,166.08
Vittel,Water,0.58,8,0.0,4.64
Passion Fruit Juice,Juices,3.02,5,0.0,15.1
Coca-Cola,Soft Drinks,1.04,2,0.0,2.08
Tomato Juice,Juices,3.33,12,0.0,39.96
San Pellegrino,Water,0.69,6,0.1,3.73
Fanta,Soft Drinks,1.23,4,0.0,4.92
Fanta,Soft Drinks,1.19,7,0.0,8.33
Johnnie Walker,Alcoholic Beverages,36.59,9,0.0,329.31
Coca-Cola,Soft Drinks,1.32,53,0.1,62.96
Tanqueray,Alcoholic Beverages,35.65,3,0.0,106.95
Evian,Water,1.31,10,0.0,13.1
Vio Wasser,Water,1.63,88,0.05,136.27
Cranberry Juice,Juices,2.82,28,0.1,71.06
Monster,Soft Drinks,3.21,1,0.0,3.21
Fritz-Kola,Soft Drinks,2.13,28,0.05,56.66
Apollinaris,Water,0.96,10,0.0,9.6
Fritz-Kola,Soft Drinks,2.05,11,0.0,22.55
Volvic Touch,Water,1.46,15,0.0,21.9
Passion Fruit Juice,Juices,3.97,98,0.1,350.15
Mezzo Mix,Soft Drinks,0.63,12,0.0,7.56
Apollinaris,Water,0.88,97,0.05,81.09
Red Bull,Soft Drinks,2.35,15,0.0,35.25
Selters,Water,0.46,2,0.0,0.92
Johnnie Walker,Alcoholic Beverages,35.52,12,0.0,426.24
Vio Wasser,Water,1.66,6,0.0,9.96
Jever,Alcoholic Beverages,1.99,5,0.0,9.95
Fanta,Soft Drinks,0.68,22,0.15,12.72
Moët & Chandon,Alcoholic Beverages,57.11,6,0.0,342.66
Rockstar,Soft Drinks,2.34,6,0.0,14.04
Rauch Multivitamin,Juices,2.31,13,0.0,30.03
Kölsch,Alcoholic Beverages,1.4,5,0.05,6.65
Kölsch,Alcoholic Beverages,0.93,7,0.0,6.51
Passion Fruit Juice,Juices,3.24,6,0.05,18.47
Passion Fruit Juice,Juices,3.02,5,0.0,15.1
Kölsch,Alcoholic Beverages,0.93,6,0.0,5.58
Volvic,Water,0.55,11,0.0,6.05
Moët & Chandon,Alcoholic Beverages,57.11,2,0.0,114.22
Hohes C Orange,Juices,2.36,35,0.1,74.34
Apollinaris,Water,0.96,3,0.0,2.88
Volvic,Water,0.58,13,0.0,7.54
Rauch Multivitamin,Juices,2.07,23,0.05,45.23
Moët & Chandon,Alcoholic Beverages,57.11,15,0.0,856.65
Moët & Chandon,Alcoholic Beverages,60.58,10,0.0,605.8
Riesling,Alcoholic Beverages,4.32,15,0.0,64.8
Krombacher,Alcoholic Beverages,1.32,5,0.1,5.94
Volvic Touch,Water,1.37,68,0.15,79.19
Erdinger Weißbier,Alcoholic Beverages,2.24,14,0.0,31.36
Vittel,Water,0.73,60,0.1,39.42
Rauch Multivitamin,Juices,2.38,12,0.0,28.56
Hohes C Orange,Juices,1.86,8,0.0,14.88
Volvic,Water,0.79,62,0.1,44.08
Merlot,Alcoholic Beverages,4.98,38,0.05,179.78
Sauvignon Blanc,Alcoholic Beverages,8.83,7,0.0,61.81
San Pellegrino,Water,0.89,13,0.0,11.57
Red Bull,Soft Drinks,2.22,6,0.0,13.32
Mango Juice,Juices,2.54,19,0.1,43.43
Chardonnay,Alcoholic Beverages,4.74,12,0.0,56.88
Veuve Clicquot,Alcoholic Beverages,109.19,3,0.0,327.57
Apollinaris,Water,0.93,13,0.0,12.09
Riesling,Alcoholic Beverages,10.07,14,0.1,126.88
Schwip Schwap,Soft Drinks,1.24,15,0.0,18.6
Volvic,Water,0.55,13,0.0,7.15
Club Mate,Soft Drinks,2.13,12,0.0,25.56
Krombacher,Alcoholic Beverages,1.31,1,0.05,1.24
Mountain Dew,Soft Drinks,0.99,9,0.0,8.91
Hohes C Orange,Juices,1.75,2,0.0,3.5
Tomato Juice,Juices,3.43,9,0.0,30.87
Volvic,Water,1.11,96,0.1,95.9
Cranberry Juice,Juices,3.46,10,0.0,34.6
Gerolsteiner,Water,0.62,73,0.1,40.73
Mountain Dew,Soft Drinks,0.99,6,0.0,5.94
Selters,Water,0.47,10,0.0,4.7
Krombacher,Alcoholic Beverages,1.59,5,0.0,7.95
Fanta,Soft Drinks,1.59,83,0.1,118.77
Havana Club,Alcoholic Beverages,12.58,4,0.0,50.32
Sauvignon Blanc,Alcoholic Beverages,8.83,10,0.0,88.3
Gerolsteiner,Water,0.74,7,0.05,4.92
Mountain Dew,Soft Drinks,0.96,4,0.0,3.84
Cranberry Juice,Juices,3.67,13,0.0,47.71
Mango Juice,Juices,3.12,9,0.0,28.08
Schwip Schwap,Soft Drinks,1.27,8,0.0,10.16
Rockstar,Soft Drinks,3.11,95,0.1,265.9
Vittel,Water,0.59,15,0.0,8.85
Johnnie Walker,Alcoholic Beverages,35.52,5,0.0,177.6
Evian,Water,1.26,9,0.0,11.34
Pepsi,Soft Drinks,0.64,10,0.15,5.44
Fritz-Kola,Soft Drinks,2.12,4,0.0,8.48
Mango Juice,Juices,3.12,14,0.0,43.68
Rauch Multivitamin,Juices,2.45,4,0.0,9.8
Cranberry Juice,Juices,2.71,45,0.05,115.85
Krombacher,Alcoholic Beverages,1.59,15,0.0,23.85
Pepsi,Soft Drinks,1.74,8,0.0,13.92
Volvic,Water,0.57,7,0.0,3.99
Club Mate,Soft Drinks,2.19,14,0.0,30.66
Gerolsteiner,Water,1.01,9,0.0,9.09
Warsteiner,Alcoholic Beverages,1.08,15,0.0,16.2
Cranberry Juice,Juices,3.56,14,0.0,49.84
Bacardi,Alcoholic Beverages,13.84,14,0.0,193.76
Gerolsteiner,Water,1.07,5,0.0,5.35
Vio Wasser,Water,1.47,14,0.05,19.55
Volvic Touch,Water,1.38,7,0.0,9.66
Selters,Water,0.73,21,0.05,14.56
San Pellegrino,Water,1.01,77,0.1,69.99
Veuve Clicquot,Alcoholic Beverages,112.46,9,0.0,1012.14
Monster,Soft Drinks,3.31,14,0.0,46.34
Pepsi,Soft Drinks,1.64,11,0.0,18.04
Pepsi,Soft Drinks,0.62,13,0.05,7.66
Merlot,Alcoholic Beverages,4.35,14,0.0,60.9
Selters,Water,0.98,51,0.1,44.98
Club Mate,Soft Drinks,2.13,2,0.0,4.26
Rauch Multivitamin,Juices,2.45,14,0.0,34.3
Granini Apple,Juices,1.56,22,0.05,32.6
Krombacher,Alcoholic Beverages,1.54,10,0.0,15.4
Monster,Soft Drinks,3.12,7,0.0,21.84
Schwip Schwap,Soft Drinks,1.2,3,0.0,3.6
Tomato Juice,Juices,3.43,4,0.0,13.72
Volvic Touch,Water,0.98,25,0.1,22.05
Fanta,Soft Drinks,1.23,1,0.0,1.23
Mountain Dew,Soft Drinks,0.99,13,0.0,12.87
Rockstar,Soft Drinks,2.34,12,0.0,28.08
Evian,Water,0.89,28,0.05,23.67
Evian,Water,1.97,79,0.1,140.07
Johnnie Walker,Alcoholic Beverages,32.12,29,0.05,884.91
Erdinger Weißbier,Alcoholic Beverages,2.04,11,0.0,22.44
Mezzo Mix,Soft Drinks,0.59,7,0.0,4.13
Moët & Chandon,Alcoholic Beverages,68.53,15,0.0,1027.95
Cranberry Juice,Juices,2.85,23,0.05,62.27
Riesling,Alcoholic Beverages,4.32,7,0.0,30.24
Chardonnay,Alcoholic Beverages,4.88,15,0.0,73.2
Rauch Multivitamin,Juices,2.31,3,0.0,6.93
Mezzo Mix,Soft Drinks,0.61,9,0.0,5.49
Jever,Alcoholic Beverages,1.05,52,0.05,51.87
Merlot,Alcoholic Beverages,11.66,100,0.1,1049.4
Volvic Touch,Water,0.79,24,0.05,18.01
Schwip Schwap,Soft Drinks,1.24,8,0.0,9.92
Hohes C Orange,Juices,1.86,5,0.0,9.3
Rotkäppchen Sekt,Alcoholic Beverages,8.05,13,0.0,104.65
Sprite,Soft Drinks,0.53,4,0.0,2.12
Tomato Juice,Juices,2.98,48,0.1,128.74
Sprite,Soft Drinks,0.56,11,0.0,6.16
Granini Apple,Juices,1.59,10,0.0,15.9
Mango Juice,Juices,2.48,6,0.05,14.14
Riesling,Alcoholic Beverages,4.07,11,0.0,44.77
Mango Juice,Juices,2.32,13,0.05,28.65
Passion Fruit Juice,Juices,4.22,97,0.1,368.41
Fanta,Soft Drinks,0.92,31,0.1,25.67
Mountain Dew,Soft Drinks,0.93,6,0.0,5.58
Vio Wasser,Water,0.6,45,0.05,25.65
Passion Fruit Juice,Juices,3.79,69,0.1,235.36
Mango Juice,Juices,3.21,11,0.0,35.31
Cranberry Juice,Juices,2.58,11,0.05,26.96
Fritz-Kola,Soft Drinks,2.05,11,0.0,22.55
Rockstar,Soft Drinks,2.44,14,0.05,32.45
Augustiner,Alcoholic Beverages,1.39,11,0.1,13.76
Mango Juice,Juices,3.21,8,0.0,25.68
Mango Juice,Juices,3.12,9,0.0,28.08
Monster,Soft Drinks,3.12,13,0.0,40.56
Rotkäppchen Sekt,Alcoholic Beverages,8.98,90,0.15,686.97
Gerolsteiner,Water,1.01,36,0.05,34.54
Club Mate,Soft Drinks,2.21,28,0.05,58.79
Sauvignon Blanc,Alcoholic Beverages,9.09,1,0.0,9.09
Passion Fruit Juice,Juices,3.02,5,0.0,15.1
Hohes C Orange,Juices,1.75,6,0.0,10.5
Cranberry Juice,Juices,3.46,5,0.0,17.3
Volvic,Water,0.52,49,0.1,22.93
Passion Fruit Juice,Juices,3.11,15,0.0,46.65
Moët & Chandon,Alcoholic Beverages,57.89,68,0.15,3346.04
Rockstar,Soft Drinks,2.34,11,0.0,25.74
Pepsi,Soft Drinks,1.14,94,0.05,101.8
Selters,Water,0.49,2,0.0,0.98
Rotkäppchen Sekt,Alcoholic Beverages,8.05,14,0.0,112.7
Sprite,Soft Drinks,0.56,8,0.0,4.48
Johnnie Walker,Alcoholic Beverages,37.69,1,0.0,37.69
Mango Juice,Juices,3.31,4,0.0,13.24
Tomato Juice,Juices,3.43,5,0.0,17.15
Johnnie Walker,Alcoholic Beverages,36.59,8,0.0,292.72
Passion Fruit Juice,Juices,2.16,10,0.05,20.52
Mezzo Mix,Soft Drinks,1.22,23,0.05,26.66
Fritz-Kola,Soft Drinks,1.99,13,0.0,25.87
Havana Club,Alcoholic Beverages,12.96,10,0.0,129.6
Krombacher,Alcoholic Beverages,1.59,9,0.0,14.31
Vio Wasser,Water,1.66,3,0.0,4.98
Bacardi,Alcoholic Beverages,13.84,5,0.0,69.2
Fanta,Soft Drinks,1.23,9,0.0,11.07
Monster,Soft Drinks,3.21,4,0.0,12.84
Rauch Multivitamin,Juices,2.31,5,0.0,11.55
Granini Apple,Juices,1.69,2,0.0,3.38
Volvic Touch,Water,1.56,74,0.1,103.9
Rockstar,Soft Drinks,2.26,4,0.05,8.59
San Pellegrino,Water,0.91,8,0.0,7.28
Tanqueray,Alcoholic Beverages,35.65,3,0.0,106.95
Mezzo Mix,Soft Drinks,1.29,25,0.05,30.64
Monster,Soft Drinks,3.12,3,0.0,9.36
Pepsi,Soft Drinks,1.49,6,0.0,8.94
Cranberry Juice,Juices,2.34,22,0.05,48.91
Erdinger Weißbier,Alcoholic Beverages,2.11,8,0.0,16.88
Havana Club,Alcoholic Beverages,13.35,7,0.0,93.45
Evian,Water,0.92,73,0.05,63.8
Beck's,Alcoholic Beverages,1.04,3,0.05,2.96
Cranberry Juice,Juices,3.56,2,0.0,7.12
Vittel,Water,0.33,56,0.05,17.56
Pepsi,Soft Drinks,1.64,11,0.0,18.04
Volvic Touch,Water,1.42,9,0.0,12.78
Passion Fruit Juice,Juices,3.11,9,0.0,27.99
Jever,Alcoholic Beverages,1.5,55,0.1,74.25
Passion Fruit Juice,Juices,3.5,26,0.05,86.45
Rotkäppchen Sekt,Alcoholic Beverages,8.29,8,0.0,66.32
Mezzo Mix,Soft Drinks,0.61,6,0.0,3.66
Volvic Touch,Water,1.42,6,0.0,8.52
Bacardi,Alcoholic Beverages,13.84,12,0.0,166.08
Cranberry Juice,Juices,3.67,2,0.0,7.34
Sauvignon Blanc,Alcoholic Beverages,9.09,6,0.0,54.54
Red Bull,Soft Drinks,2.22,3,0.0,6.66
Evian,Water,1.23,9,0.0,11.07
Cranberry Juice,Juices,3.67,3,0.0,11.01
Bacardi,Alcoholic Beverages,11.87,18,0.1,192.29
Hohes C Orange,Juices,1.4,9,0.1,11.34
Mango Juice,Juices,2.18,50,0.05,103.55
Vittel,Water,0.59,10,0.0,5.9
Passion Fruit Juice,Juices,3.69,54,0.1,179.33
Warsteiner,Alcoholic Beverages,1.65,64,0.1,95.04
San Pellegrino,Water,0.86,13,0.0,11.18
Merlot,Alcoholic Beverages,4.48,3,0.0,13.44
Beck's,Alcoholic Beverages,1.89,33,0.1,56.13
Rauch Multivitamin,Juices,2.45,9,0.0,22.05
Hohes C Orange,Juices,1.8,5,0.0,9.0
Volvic,Water,0.55,4,0.0,2.2
Kölsch,Alcoholic Beverages,2.11,69,0.15,123.75
Veuve Clicquot,Alcoholic Beverages,109.19,14,0.0,1528.66
Fanta,Soft Drinks,1.16,4,0.0,4.64
Tomato Juice,Juices,3.23,12,0.0,38.76
Club Mate,Soft Drinks,2.11,19,0.1,36.08
Rauch Multivitamin,Juices,2.45,6,0.0,14.7
Mango Juice,Juices,3.31,4,0.0,13.24
Jever,Alcoholic Beverages,1.99,10,0.0,19.9
Rockstar,Soft Drinks,2.34,14,0.0,32.76
Volvic,Water,0.58,12,0.0,6.96
Cranberry Juice,Juices,3.27,85,0.1,250.16
Passion Fruit Juice,Juices,3.11,12,0.0,37.32
Vio Wasser,Water,1.71,15,0.0,25.65
Gerolsteiner,Water,1.04,1,0.0,1.04
Gerolsteiner,Water,1.07,10,0.0,10.7
Passion Fruit Juice,Juices,2.56,19,0.1,43.78
Rauch Multivitamin,Juices,2.31,15,0.0,34.65
Granini Apple,Juices,1.93,89,0.1,154.59
Mango Juice,Juices,3.12,9,0.0,28.08
Vio Wasser,Water,1.66,5,0.0,8.3
Krombacher,Alcoholic Beverages,1.59,15,0.0,23.85
Mango Juice,Juices,3.21,1,0.0,3.21
Jack Daniels,Alcoholic Beverages,30.53,90,0.1,2472.93
Red Bull,Soft Drinks,3.31,84,0.05,264.14
Riesling,Alcoholic Beverages,6.08,26,0.05,150.18
Coca-Cola,Soft Drinks,1.21,4,0.0,4.84
Warsteiner,Alcoholic Beverages,1.02,9,0.0,9.18
San Pellegrino,Water,0.86,4,0.0,3.44
Rauch Multivitamin,Juices,2.38,5,0.0,11.9
Sprite,Soft Drinks,0.56,8,0.0,4.48
Mango Juice,Juices,2.81,3,0.05,8.01
Mango Juice,Juices,3.31,3,0.0,9.93
Vio Wasser,Water,1.56,61,0.05,90.4
San Pellegrino,Water,0.86,11,0.0,9.46
Selters,Water,1.09,10,0.05,10.36
Chardonnay,Alcoholic Beverages,10.86,65,0.1,635.31
Kölsch,Alcoholic Beverages,0.96,3,0.0,2.88
Warsteiner,Alcoholic Beverages,1.05,6,0.0,6.3
Rauch Multivitamin,Juices,2.91,1,0.05,2.76
Bacardi,Alcoholic Beverages,41.75,79,0.1,2968.42
Tanqueray,Alcoholic Beverages,34.61,1,0.0,34.61
Beck's,Alcoholic Beverages,1.24,4,0.05,4.71
Sprite,Soft Drinks,0.55,2,0.0,1.1
Evian,Water,1.26,13,0.0,16.38
Beck's,Alcoholic Beverages,1.51,4,0.0,6.04
Fanta,Soft Drinks,1.23,11,0.0,13.53
Granini Apple,Juices,1.1,12,0.05,12.54
Granini Apple,Juices,1.69,15,0.0,25.35
Evian,Water,0.79,52,0.1,36.97
Fanta,Soft Drinks,1.04,29,0.05,28.65
Mountain Dew,Soft Drinks,0.99,14,0.0,13.86
San Pellegrino,Water,0.86,3,0.0,2.58
Fritz-Kola,Soft Drinks,1.99,9,0.0,17.91
Club Mate,Soft Drinks,2.19,10,0.0,21.9
Rockstar,Soft Drinks,1.81,63,0.1,102.63
Granini Apple,Juices,1.59,11,0.0,17.49
Tomato Juice,Juices,3.43,8,0.0,27.44
Monster,Soft Drinks,3.12,7,0.0,21.84
Jever,Alcoholic Beverages,1.94,9,0.0,17.46
Mango Juice,Juices,3.21,14,0.0,44.94
Hohes C Orange,Juices,1.86,5,0.0,9.3
Club Mate,Soft Drinks,2.02,49,0.05,94.03
Club Mate,Soft Drinks,2.13,10,0.0,21.3
Tanqueray,Alcoholic Beverages,35.65,10,0.0,356.5
Passion Fruit Juice,Juices,3.02,9,0.0,27.18
Selters,Water,1.04,63,0.15,55.69
Rauch Multivitamin,Juices,2.38,4,0.0,9.52
San Pellegrino,Water,0.7,40,0.05,26.6
Mezzo Mix,Soft Drinks,0.63,13,0.0,8.19
Jack Daniels,Alcoholic Beverages,51.76,9,0.0,465.84
Augustiner,Alcoholic Beverages,1.09,9,0.0,9.81
Sprite,Soft Drinks,0.56,13,0.0,7.28
Gerolsteiner,Water,0.61,66,0.1,36.23
Bacardi,Alcoholic Beverages,32.5,95,0.1,2778.75
Cranberry Juice,Juices,3.46,10,0.0,34.6
Volvic,Water,0.58,4,0.0,2.32
Vittel,Water,0.56,6,0.0,3.36
Granini Apple,Juices,1.64,10,0.0,16.4
Johnnie Walker,Alcoholic Beverages,36.59,8,0.0,292.72
Jack Daniels,Alcoholic Beverages,51.76,15,0.0,776.4
Chardonnay,Alcoholic Beverages,5.03,11,0.0,55.33
Schwip Schwap,Soft Drinks,1.08,63,0.05,64.64
Selters,Water,0.49,1,0.0,0.49
Beck's,Alcoholic Beverages,1.33,2,0.0,2.66
Passion Fruit Juice,Juices,2.61,65,0.1,152.68
Vio Wasser,Water,1.57,65,0.1,91.84
Monster,Soft Drinks,3.21,9,0.0,28.89
Fritz-Kola,Soft Drinks,2.12,2,0.0,4.24
Jever,Alcoholic Beverages,1.43,84,0.1,108.11
Volvic Touch,Water,1.46,4,0.0,5.84
Fritz-Kola,Soft Drinks,2.05,2,0.0,4.1
Hohes C Orange,Juices,1.75,1,0.0,1.75
Mountain Dew,Soft Drinks,0.93,3,0.0,2.79
Evian,Water,1.31,10,0.0,13.1
Rotkäppchen Sekt,Alcoholic Beverages,3.47,16,0.1,49.97
Evian,Water,1.33,36,0.1,43.09
Cranberry Juice,Juices,3.56,11,0.0,39.16
Beck's,Alcoholic Beverages,1.46,6,0.0,8.76
Schwip Schwap,Soft Drinks,1.29,21,0.05,25.74
Krombacher,Alcoholic Beverages,1.63,1,0.0,1.63
Coca-Cola,Soft Drinks,1.1,12,0.0,13.2
Granini Apple,Juices,1.59,8,0.0,12.72
Tanqueray,Alcoholic Beverages,32.58,94,0.1,2756.27
Riesling,Alcoholic Beverages,4.32,11,0.0,47.52
Red Bull,Soft Drinks,2.22,2,0.0,4.44
Pepsi,Soft Drinks,0.74,15,0.1,9.99
Evian,Water,0.79,14,0.05,10.51
Cranberry Juice,Juices,3.67,2,0.0,7.34
Granini Apple,Juices,1.64,5,0.0,8.2
Sprite,Soft Drinks,0.56,9,0.0,5.04
Jever,Alcoholic Beverages,1.88,7,0.0,13.16
Hohes C Orange,Juices,1.86,7,0.0,13.02
Granini Apple,Juices,1.59,10,0.0,15.9
Warsteiner,Alcoholic Beverages,1.05,2,0.0,2.1
Mountain Dew,Soft Drinks,0.93,3,0.0,2.79
San Pellegrino,Water,1.6,98,0.15,133.28
Havana Club,Alcoholic Beverages,16.91,12,0.05,192.77
Vio Wasser,Water,0.54,42,0.05,21.55
Veuve Clicquot,Alcoholic Beverages,109.19,13,0.0,1419.47
Evian,Water,1.31,9,0.0,11.79
Tomato Juice,Juices,3.33,9,0.0,29.97
Bacardi,Alcoholic Beverages,30.81,44,0.05,1287.86
Mango Juice,Juices,3.21,7,0.0,22.47
Granini Apple,Juices,1.64,2,0.0,3.28
Selters,Water,0.46,2,0.0,0.92
Warsteiner,Alcoholic Beverages,1.32,2,0.05,2.51
Bacardi,Alcoholic Beverages,13.84,2,0.0,27.68
Mango Juice,Juices,3.12,14,0.0,43.68
Pepsi,Soft Drinks,1.46,17,0.05,23.58
Rockstar,Soft Drinks,2.43,13,0.05,30.01
Vittel,Water,0.54,17,0.05,8.72
Sprite,Soft Drinks,1.53,14,0.05,20.35
Augustiner,Alcoholic Beverages,1.12,7,0.0,7.84
Fanta,Soft Drinks,1.16,14,0.0,16.24
Rauch Multivitamin,Juices,2.45,10,0.0,24.5
Vittel,Water,0.38,34,0.05,12.27
Erdinger Weißbier,Alcoholic Beverages,2.11,2,0.0,4.22
Gerolsteiner,Water,1.1,86,0.15,80.41
Selters,Water,0.47,5,0.0,2.35
Sprite,Soft Drinks,0.98,85,0.1,74.97
Pepsi,Soft Drinks,1.58,1,0.0,1.58
Riesling,Alcoholic Beverages,4.07,14,0.0,56.98
Rockstar,Soft Drinks,2.27,58,0.1,118.49
Rockstar,Soft Drinks,2.34,7,0.0,16.38
Club Mate,Soft Drinks,1.9,17,0.1,29.07
Erdinger Weißbier,Alcoholic Beverages,2.24,5,0.0,11.2
Monster,Soft Drinks,3.31,5,0.0,16.55
Moët & Chandon,Alcoholic Beverages,58.82,13,0.0,764.66
Cranberry Juice,Juices,3.67,15,0.0,55.05
Tomato Juice,Juices,3.77,86,0.1,291.8
Tomato Juice,Juices,2.77,32,0.1,79.78
Volvic Touch,Water,1.46,11,0.0,16.06
Vittel,Water,0.68,63,0.05,40.7
Mango Juice,Juices,3.21,1,0.0,3.21
Mezzo Mix,Soft Drinks,0.63,4,0.0,2.52
Granini Apple,Juices,1.59,1,0.0,1.59
Erdinger Weißbier,Alcoholic Beverages,1.92,7,0.0,13.44
Tomato Juice,Juices,3.33,9,0.0,29.97
Granini Apple,Juices,1.72,58,0.1,89.78
Passion Fruit Juice,Juices,2.93,12,0.0,35.16
Granini Apple,Juices,1.9,69,0.1,117.99
Granini Apple,Juices,1.69,13,0.0,21.97
Monster,Soft Drinks,3.31,14,0.0,46.34
Bacardi,Alcoholic Beverages,14.26,3,0.0,42.78
Hohes C Orange,Juices,1.37,44,0.1,54.25
Granini Apple,Juices,2.17,48,0.05,98.95
San Pellegrino,Water,0.86,15,0.0,12.9
Volvic,Water,1.1,77,0.1,76.23
Schwip Schwap,Soft Drinks,1.27,11,0.0,13.97
Tomato Juice,Juices,2.94,2,0.1,5.29
Granini Apple,Juices,1.22,84,0.1,92.23
Cranberry Juice,Juices,3.43,43,0.05,140.12
Krombacher,Alcoholic Beverages,1.63,13,0.0,21.19
Selters,Water,1.69,93,0.1,141.45
Passion Fruit Juice,Juices,3.65,55,0.15,170.64
Apollinaris,Water,0.99,15,0.0,14.85
Hohes C Orange,Juices,1.75,14,0.0,24.5
Veuve Clicquot,Alcoholic Beverages,106.01,2,0.0,212.02
Volvic,Water,0.42,32,0.15,11.42
Krombacher,Alcoholic Beverages,1.63,8,0.0,13.04
Selters,Water,0.47,15,0.0,7.05
Evian,Water,1.18,41,0.05,45.96
Hohes C Orange,Juices,1.75,6,0.0,10.5
Evian,Water,0.69,16,0.05,10.49
Monster,Soft Drinks,3.21,7,0.0,22.47
Beck's,Alcoholic Beverages,1.33,3,0.0,3.99
Fritz-Kola,Soft Drinks,2.58,63,0.1,146.29
Selters,Water,1.11,88,0.1,87.91
Gerolsteiner,Water,1.01,11,0.0,11.11
Gerolsteiner,Water,1.07,12,0.0,12.84
Rockstar,Soft Drinks,2.27,2,0.0,4.54
Beck's,Alcoholic Beverages,1.33,10,0.0,13.3
Rockstar,Soft Drinks,2.34,10,0.0,23.4
Selters,Water,0.46,11,0.0,5.06
Selters,Water,0.64,39,0.1,22.46
Merlot,Alcoholic Beverages,4.35,2,0.0,8.7
San Pellegrino,Water,0.89,4,0.0,3.56
Vio Wasser,Water,1.66,2,0.0,3.32
Vio Wasser,Water,1.71,5,0.0,8.55
Tomato Juice,Juices,3.88,28,0.1,97.78
Passion Fruit Juice,Juices,3.11,3,0.0,9.33
Volvic Touch,Water,1.46,11,0.0,16.06
Sprite,Soft Drinks,0.55,3,0.0,1.65
Cranberry Juice,Juices,3.56,14,0.0,49.84
Sprite,Soft Drinks,0.53,5,0.0,2.65
Fanta,Soft Drinks,1.23,9,0.0,11.07
Mango Juice,Juices,3.31,7,0.0,23.17
Vittel,Water,0.62,4,0.0,2.48
Augustiner,Alcoholic Beverages,1.12,3,0.0,3.36
Fanta,Soft Drinks,1.23,8,0.0,9.84
Riesling,Alcoholic Beverages,4.32,15,0.0,64.8
Passion Fruit Juice,Juices,3.11,3,0.0,9.33
Rotkäppchen Sekt,Alcoholic Beverages,8.29,9,0.0,74.61
Coca-Cola,Soft Drinks,0.95,25,0.05,22.56
Monster,Soft Drinks,3.21,7,0.0,22.47
Monster,Soft Drinks,3.31,20,0.05,62.89
Beck's,Alcoholic Beverages,2.12,51,0.05,102.71
Rauch Multivitamin,Juices,1.93,14,0.05,25.67
Monster,Soft Drinks,3.31,5,0.0,16.55
Schwip Schwap,Soft Drinks,1.24,5,0.0,6.2
Sprite,Soft Drinks,0.53,3,0.0,1.59
Tomato Juice,Juices,2.92,70,0.15,173.74
